[2026-06-16 19:43:34 ET]   --no-download: reusing existing nlrb.db
[2026-06-16 19:43:34 ET]   source DB freshness (max filing.updated_at): 2026-06-16 10:15:58
[2026-06-16 19:43:34 ET] === NLRB backfill (filings+decisions 2026-01-01 → today, live=False) ===
[2026-06-16 19:43:35 ET]   + FILING: 04-CA-378120 | CA | Timber Ridge SNF Operations LLC d/b/a River View N
[2026-06-16 19:43:35 ET]   + FILING: 04-CB-378114 | CB | Teamsters Local 773 (United Parcel Service)
[2026-06-16 19:43:36 ET]   + FILING: 04-CB-378126 | CB | National Association of Letter Carriers (United St
[2026-06-16 19:43:36 ET]   + FILING: 04-CA-378223 | CA | Sunbelt Rentals
[2026-06-16 19:43:37 ET]   + FILING: 04-CA-378249 | CA | SRS Distribution
[2026-06-16 19:43:37 ET]   + FILING: 04-CB-378168 | CB | ILA local 2076 (Enstructure LLC Wilmington)
[2026-06-16 19:43:37 ET]   + FILING: 04-CB-378183 | CB | APWU Local 89 (United States Postal Service)
[2026-06-16 19:43:38 ET]   + FILING: 04-CA-378358 | CA | 773 Teamsters (Coca Cola North)
[2026-06-16 19:43:38 ET]   + FILING: 04-CB-378287 | CB | ILA Local 1694 (Enstructure Wilmington)
[2026-06-16 19:43:38 ET]   + FILING: 04-CB-378360 | CB | Teamsters 773 (Coca Cola North)
[2026-06-16 19:43:39 ET]   + FILING: 04-RC-378338 | RC | Inspira Medical Centers, Inc.
[2026-06-16 19:43:39 ET]   + FILING: 04-CA-378430 | CA | Timothy S. Zeiger, Psy.D., PLLC
[2026-06-16 19:43:39 ET]   + FILING: 04-CA-378485 | CA | Timber Ridge SNF Operations LLC d/b/a River View N
[2026-06-16 19:43:40 ET]   + FILING: 04-CA-378492 | CA | Timber Ridge SNF Operations LLC d/b/a River View N
[2026-06-16 19:43:40 ET]   + FILING: 04-CB-378519 | CB | United Food and Commercial Workers 1776 (River Vie
[2026-06-16 19:43:41 ET]   + FILING: 04-CB-378540 | CB | United Food and Commercial Workers 1776 (River Vie
[2026-06-16 19:43:41 ET]   + FILING: 04-CB-378552 | CB | Local 74 Union-Plumbers and Pipefitters Delaware (
[2026-06-16 19:43:41 ET]   + FILING: 04-CG-378567 | CG | Teamsters Local 771 (Lancaster Behavioral Health H
[2026-06-16 19:43:42 ET]   + FILING: 04-RC-378569 | RC | The Berks Packing Company, Inc.
[2026-06-16 19:43:42 ET]   + FILING: 04-CA-378659 | CA | Merakey
[2026-06-16 19:43:42 ET]   + FILING: 04-CB-378670 | CB | Local IBT 500 (SEPTA)
[2026-06-16 19:43:43 ET]   + FILING: 04-RC-378651 | RC | Bucks County Courier Times
[2026-06-16 19:43:44 ET]   + FILING: 04-CA-378682 | CA | Monumental Post Acute Care
[2026-06-16 19:43:44 ET]   + FILING: 04-CA-378702 | CA | International Association of Machinists and Aerosp
[2026-06-16 19:43:45 ET]   + FILING: 04-CA-378715 | CA | Constellation Energy
[2026-06-16 19:43:45 ET]   + FILING: 04-CA-378892 | CA | American Federation of Teachers - Pennsylvania
[2026-06-16 19:43:46 ET]   + FILING: 04-RC-378935 | RC | GateHouse Media Pennsylvania Holdings, Inc., d/b/a
[2026-06-16 19:43:46 ET]   + FILING: 04-CA-379046 | CA | Penn Valley Shows LLC
[2026-06-16 19:43:47 ET]   + FILING: 04-CA-379256 | CA | United States Postal Service
[2026-06-16 19:43:47 ET]   + FILING: 04-CB-379255 | CB | IBT Local 676 Teamsters (UPS)
[2026-06-16 19:43:47 ET]   + FILING: 04-CA-379312 | CA | Center City District
[2026-06-16 19:43:48 ET]   + FILING: 04-CA-379332 | CA | Learning World Child Academy
[2026-06-16 19:43:48 ET]   + FILING: 04-CA-379348 | CA | Advance Auto Parts DC30
[2026-06-16 19:43:48 ET]   + FILING: 04-CA-379352 | CA | Rams Pint house and Roof top Lounge
[2026-06-16 19:43:49 ET]   + FILING: 04-CB-379262 | CB | Keystone Area Local 1566 (United States Postal Ser
[2026-06-16 19:43:49 ET]   + FILING: 04-CB-379306 | CB | International Union SPFPA Local 511 (Center City D
[2026-06-16 19:43:50 ET]   + FILING: 04-RC-379267 | RC | Temple University Hospital, Inc. d/b/a Temple Wome
[2026-06-16 19:43:50 ET]   + FILING: 04-RC-379268 | RC | STA of Pennsylvania, Inc.
[2026-06-16 19:43:50 ET]   + FILING: 04-RC-379296 | RC | Genserve Inc.
[2026-06-16 19:43:51 ET]   + FILING: 04-CA-379358 | CA | Rams Pint House and Rooftop Lounge
[2026-06-16 19:43:51 ET]   + FILING: 04-CA-379370 | CA | United Parcel Service (UPS)
[2026-06-16 19:43:51 ET]   + FILING: 04-CA-379384 | CA | CVVY Enterprises, LLC d/b/a NWIN Overlook Group
[2026-06-16 19:43:52 ET]   + FILING: 04-CB-379373 | CB | Teamsters Local 331 (United Parcel Service)
[2026-06-16 19:43:52 ET]   + FILING: 04-RC-379361 | RC | A J Jersey, Inc.
[2026-06-16 19:43:53 ET]   + FILING: 04-CA-379499 | CA | Atlantic Exposition Services, LLC
[2026-06-16 19:43:53 ET]   + FILING: 04-CB-379503 | CB | International Union of Painters and Allied Trades 
[2026-06-16 19:43:53 ET]   + FILING: 04-CB-379517 | CB | International Association of Bridge, Structural, O
[2026-06-16 19:43:54 ET]   + FILING: 04-CA-379614 | CA | United States Postal Service
[2026-06-16 19:43:54 ET]   + FILING: 04-CB-379680 | CB | International Brotherhood of Teamsters Local Union
[2026-06-16 19:43:54 ET]   + FILING: 04-CA-379698 | CA | United States Postal Service
[2026-06-16 19:43:55 ET]   + FILING: 04-CA-379709 | CA | Northern Dauphin Nursing and Rehabilitation Center
[2026-06-16 19:43:55 ET]   + FILING: 04-RC-379702 | RC | Inspira Medical Centers Inc.
[2026-06-16 19:43:55 ET]   + FILING: 04-RM-379703 | RM | Philadelphia Building Associates, LLC
[2026-06-16 19:43:56 ET]   + FILING: 04-CA-379867 | CA | Complete Care at Marcella
[2026-06-16 19:43:56 ET]   + FILING: 04-CA-380088 | CA | Timken/GGB
[2026-06-16 19:43:56 ET]   + FILING: 04-CA-380094 | CA | BLES Healthcare Management, LLC - Rosemont Care an
[2026-06-16 19:43:57 ET]   + FILING: 04-CB-380099 | CB | Communication Workers of Americal Local 81134 (Tim
[2026-06-16 19:43:57 ET]   + FILING: 04-CA-380082 | CA | Bryn Mawr Terrace
[2026-06-16 19:43:58 ET]   + FILING: 04-CA-380134 | CA | Krapf School Bus
[2026-06-16 19:43:58 ET]   + FILING: 04-CB-380135 | CB | United Government Security Officers of America and
[2026-06-16 19:43:58 ET]   + FILING: 04-CA-380161 | CA | Powerhouse Equipment & Engineering Co., Inc.
[2026-06-16 19:43:59 ET]   + FILING: 04-CA-380184 | CA | Klein Electric Advertising, Inc.
[2026-06-16 19:43:59 ET]   + FILING: 04-CA-380215 | CA | BBC Management Services, Inc./B. Blair Corp.
[2026-06-16 19:43:59 ET]   + FILING: 04-CA-380237 | CA | BBC Management Services Inc. / B. Blair Corp.
[2026-06-16 19:44:00 ET]   + FILING: 04-CA-380267 | CA | BBC Management Services Inc. / B. Blair Corp.
[2026-06-16 19:44:00 ET]   + FILING: 04-CA-380269 | CA | BBC Management Services Inc. / B. Blair Corp.
[2026-06-16 19:44:01 ET]   + FILING: 04-CA-380313 | CA | Tusk Industrial Corporation
[2026-06-16 19:44:01 ET]   + FILING: 04-CB-380415 | CB | Philadelphia Federation of Teachers (The School Di
[2026-06-16 19:44:01 ET]   + FILING: 04-CA-380331 | CA | Mack Trucks
[2026-06-16 19:44:02 ET]   + FILING: 04-CA-380359 | CA | AFT Pennsylvania
[2026-06-16 19:44:02 ET]   + FILING: 04-CA-380315 | CA | D's Diner
[2026-06-16 19:44:02 ET]   + FILING: 04-CA-380361 | CA | Complete Care at Green Acres Manor
[2026-06-16 19:44:03 ET]   + FILING: 04-CA-380368 | CA | United States Postal Service
[2026-06-16 19:44:03 ET]   + FILING: 04-CB-380373 | CB | Jneso District Council 1 (Cedar Grove Respiratory 
[2026-06-16 19:44:04 ET]   + FILING: 04-RC-380380 | RC | Interstate Waste Services
[2026-06-16 19:44:04 ET]   + FILING: 04-UC-380401 | UC | American Federation of Teachers- Pennsylvania
[2026-06-16 19:44:04 ET]   + FILING: 04-CA-380423 | CA | Amazon Services
[2026-06-16 19:44:05 ET]   + FILING: 04-CA-380429 | CA | Liguori Academy
[2026-06-16 19:44:05 ET]   + FILING: 04-CB-380458 | CB | International Union of Operating Engineers, Local 
[2026-06-16 19:44:05 ET]   + FILING: 04-CB-380541 | CB | International Longshoremen's Association, Local 12
[2026-06-16 19:44:06 ET]   + FILING: 04-RC-380580 | RC | Genserve, Inc.
[2026-06-16 19:44:06 ET]   + FILING: 04-RD-380568 | RD | Cedar Grove Respiratory and Nursing Center
[2026-06-16 19:44:07 ET]   + FILING: 04-RM-380555 | RM | B. Blair Corp.
[2026-06-16 19:44:08 ET]   + FILING: 04-CA-380627 | CA | Gardenview Opco d/b/a Cedar Grove Respiratory & Nu
[2026-06-16 19:44:08 ET]   + FILING: 04-CA-380675 | CA | First Student
[2026-06-16 19:44:08 ET]   + FILING: 04-CA-380681 | CA | BBC Management Services, Inc. /  B. Blair Corp.
[2026-06-16 19:44:09 ET]   + FILING: 04-RC-380688 | RC | Ryder Truck Rental, Inc.
[2026-06-16 19:44:09 ET]   + FILING: 04-RC-380691 | RC | Clifford Hill Sanitation Services, LLC
[2026-06-16 19:44:10 ET]   + FILING: 04-RC-380693 | RC | Foulkeways at Gwynedd
[2026-06-16 19:44:10 ET]   + FILING: 04-RM-380713 | RM | Bryn Athyn Fire Company
[2026-06-16 19:44:10 ET]   + FILING: 04-CA-380729 | CA | Johnson Matthey, Inc.
[2026-06-16 19:44:11 ET]   + FILING: 04-CA-380763 | CA | United States Postal Service
[2026-06-16 19:44:11 ET]   + FILING: 04-CB-380757 | CB | National Association of Letter Carriers (United St
[2026-06-16 19:44:11 ET]   + FILING: 04-CA-380816 | CA | United States Postal Service
[2026-06-16 19:44:12 ET]   + FILING: 04-CA-380867 | CA | Greenwich Terminals LLC and PMTA
[2026-06-16 19:44:12 ET]   + FILING: 04-CA-380879 | CA | Lancaster Behavioral Health Hospital
[2026-06-16 19:44:12 ET]   + FILING: 04-CA-380881 | CA | Airgas, Inc.
[2026-06-16 19:44:13 ET]   + FILING: 04-CA-380888 | CA | PCI Pharma Services
[2026-06-16 19:44:14 ET]   + FILING: 04-CB-380866 | CB | International Longshoremen's Association Local 129
[2026-06-16 19:44:15 ET]   + FILING: 04-RM-380814 | RM | Jack Duggans PHL Inc.
[2026-06-16 19:44:16 ET]   + FILING: 04-CA-380904 | CA | Flower & Flame, LLC
[2026-06-16 19:44:16 ET]   + FILING: 04-CB-380918 | CB | United Food and Commercial Workers Union -AFL-CIO 
[2026-06-16 19:44:17 ET]   + FILING: 04-CA-380979 | CA | United States Postal Service
[2026-06-16 19:44:17 ET]   + FILING: 04-CB-380974 | CB | Unite Here Local 274 (GF Hospitality PHI LLC d/b/a
[2026-06-16 19:44:17 ET]   + FILING: 04-CB-380999 | CB | Unite Here Local 54 (Hard Rock Casino)
[2026-06-16 19:44:18 ET]   + FILING: 04-CA-381001 | CA | Jack Duggans, PHL Inc.
[2026-06-16 19:44:18 ET]   + FILING: 04-CA-381017 | CA | Stradley Ronon Stevens & Young, LLP
[2026-06-16 19:44:20 ET]   + FILING: 04-CA-381178 | CA | Jefferson Einstein Philadelphia
[2026-06-16 19:44:20 ET]   + FILING: 04-CA-381185 | CA | GHR Healthcare
[2026-06-16 19:44:21 ET]   + FILING: 04-CA-381351 | CA | ISS Building services
[2026-06-16 19:44:21 ET]   + FILING: 04-CA-381352 | CA | Mercer Home Health Care
[2026-06-16 19:44:21 ET]   + FILING: 04-CA-381364 | CA | Embassy Of Wyoming Valley
